pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum
Kepler-6 b,13.31600225,189.74451,3.23469439654,1374.57,1.31,5613.0,1.31474,0.959,-0.08288
Kepler-6 b,13.103321,205.63601,3.2346994,797.0,0.49,5647.0,1.261,1.114,-0.08288
Kepler-6 b,14.616536,212.31044,3.2346996,1460.0,0.4,5647.0,1.391,1.209,-0.08288
Kepler-6 b,11.07,189.74451,3.23469955,1260.0,1.31,5826.0,1.082,1.138,-0.08288
Kepler-6 b,13.41,189.74451,3.234699312,1355.0,1.31,5640.0,1.291,1.047,-0.08288
Kepler-6 b,13.41,189.74451,3.234699312,1355.0,1.31,5640.0,1.291,1.047,-0.08288
Kepler-6 b,13.101,189.74451,3.234699312,797.0,1.31,5660.0,1.261,1.09,-0.08288
Kepler-6 b,2.3,189.74451,3.234699282,797.0,1.31,5613.0,1.31474,0.99,0.18916
Kepler-6 b,12.902,189.74451,10.338536805,797.0,1.31,5660.0,1.275,0.959,-0.08288
Kepler-6 b,2.3,189.74451,3.234699,797.0,1.31,5647.0,1.391,1.209,0.299
Kepler-6 b,2.3,189.74451,3.2346993953,797.0,1.31,5613.0,1.31474,0.99,0.18916
Kepler-6 b,13.41,189.74451,3.234699312,1355.0,1.31,5640.0,1.291,1.047,-0.08288
Kepler-6 b,13.103321,201.18639,3.234702,1451.0,0.492,5647.0,1.261,1.114,-0.08288
Kepler-6 b,14.83,212.619,3.234723,1500.0,0.352,5647.0,1.391,1.209,0.299
Kepler-6 b,2.3,189.74451,3.23469918,797.0,1.31,5613.0,1.31474,0.99,0.18916
Kepler-6 b,13.06,189.74451,3.234699282,1356.0,1.31,5640.0,1.291,1.047,-0.08288
Kepler-6 b,2.3,189.74451,3.2346993,797.0,1.31,5647.0,1.391,1.209,0.299
Kepler-6 b,13.38,189.74451,3.234699312,797.0,1.31,5690.0,1.29,1.05,-0.08288
Kepler-491 b,8.547,189.74451,4.225384512,797.0,1.31,5522.0,0.984,1.044,-0.08288
Kepler-491 b,2.3,189.74451,4.2253841112,797.0,1.31,5501.0,1.03122,0.96,-0.05683
Kepler-491 b,9.16,189.74451,4.225384512,1118.0,1.31,5649.0,1.055,1.071,-0.08288
Kepler-491 b,9.0,189.74451,4.225384543,1111.0,1.31,5574.0,1.054,1.025,-0.08288
Kepler-491 b,8.88931966,189.74451,4.22534982536,1097.04,1.31,5501.0,1.03122,0.959,-0.08288
Kepler-491 b,9.16,189.74451,4.225384512,1118.0,1.31,5649.0,1.055,1.071,-0.08288
Kepler-491 b,8.92,189.74451,4.225384512,797.0,1.31,5582.0,1.03,1.04,-0.08288
Kepler-491 b,8.523,189.74451,10.338536805,797.0,1.31,5522.0,0.998,0.959,-0.08288
Kepler-491 b,9.16,189.74451,4.225384512,1118.0,1.31,5649.0,1.055,1.071,-0.08288
Kepler-491 b,2.3,189.74451,4.225384543,797.0,1.31,5501.0,1.03122,0.96,-0.05683
Kepler-491 b,10.0,189.74451,4.2253846,1157.0,1.31,5541.0,1.17,1.047,-0.08288
Kepler-257 b,2.67,189.74451,2.382652169,1237.0,1.31,5188.0,0.973,0.868,-0.08288
Kepler-257 b,2.22,189.74451,2.382652169,797.0,1.31,5209.0,0.81,0.85,-0.08288
Kepler-257 b,2.67,189.74451,2.382652169,1237.0,1.31,5188.0,0.973,0.868,-0.08288
Kepler-257 b,2.3,189.74451,2.3826432093,797.0,1.31,4972.0,0.87259,0.82,-0.37756
Kepler-257 b,2.61,189.74451,2.382667,797.0,1.31,5180.0,1.037,0.959,-0.08288
Kepler-257 b,2.0,189.74451,2.382666,1079.0,1.31,5058.0,0.75,0.74,-0.08288
Kepler-257 b,2.74,189.74451,2.382652873,1237.0,1.31,5188.0,0.973,0.868,-0.08288
Kepler-257 b,2.201,189.74451,2.382652169,797.0,1.31,5118.0,0.801,0.916,-0.08288
Kepler-257 b,2.3,189.74451,2.38265264,797.0,1.31,4972.0,0.87259,0.82,-0.37756
Kepler-257 b,2.3,189.74451,2.382652873,797.0,1.31,4972.0,0.87259,0.82,-0.37756
Kepler-257 b,2.67,189.74451,2.382652169,1237.0,1.31,5188.0,0.973,0.868,-0.08288
Kepler-216 b,2.23,189.74451,7.69364042,797.0,1.31,6142.0,1.2,1.11,-0.08288
Kepler-216 b,2.867,189.74451,7.69364042,797.0,1.31,6119.0,1.545,1.126,-0.08288
Kepler-216 b,2.12,189.74451,7.69363627,1069.0,1.31,6086.0,1.216,1.013,-0.08288
Kepler-216 b,2.3,189.74451,7.69362068,797.0,1.31,6093.45,1.62969,1.14,0.51836
Kepler-216 b,1.91,189.74451,7.69364042,1003.0,1.31,6277.0,1.031,1.085,-0.08288
Kepler-216 b,2.3,189.74451,7.69363627,797.0,1.31,6093.45,1.62969,1.14,0.51836
Kepler-216 b,2.35,189.74451,7.693641,797.0,1.31,6091.0,1.26,0.959,-0.08288
Kepler-216 b,1.91,189.74451,7.69364042,1003.0,1.31,6277.0,1.031,1.085,-0.08288
Kepler-216 b,2.765,189.74451,10.338536805,797.0,1.31,6119.0,1.589,0.959,-0.08288
Kepler-216 b,1.96,189.74451,7.693491,1008.0,1.31,6278.0,1.05,1.129,-0.08288
Kepler-216 b,2.3,189.74451,7.6935719644,797.0,1.31,6093.45,1.62969,1.14,0.51836
Kepler-216 b,1.91,189.74451,7.69364042,1003.0,1.31,6277.0,1.031,1.085,-0.08288
Kepler-32 c,2.11,189.74451,8.75,797.0,1.31,5613.0,0.951815,0.959,-0.08288
Kepler-32 c,2.08,189.74451,8.75245953,449.0,1.31,3727.0,0.5,0.52,-0.08288
Kepler-32 c,1.98,189.74451,8.75208025,797.0,1.31,3791.0,0.574432,0.566709,-1.21181
Kepler-32 c,1.94,189.74451,8.752,797.0,1.31,3787.0,0.506,0.514,-0.08288
Kepler-32 c,2.3,189.74451,8.75209691,797.0,1.31,3791.0,0.574432,0.566709,-1.21181
Kepler-32 c,2.02,7.7,8.752,797.0,1.31,5613.0,0.529,0.566,-0.08288
Kepler-32 c,2.0,189.74451,8.7522,470.0,1.31,3793.0,0.53,0.54,-0.08288
Kepler-32 c,2.2,189.74451,8.75210645,449.0,1.31,3727.0,0.5,0.52,-0.08288
Kepler-32 c,2.3,1.05,8.752097,797.0,0.61,5613.0,0.574,0.509,-0.08288
Kepler-32 c,2.112,189.74451,10.338536805,797.0,1.31,3731.0,0.574,0.959,-0.08288
Kepler-32 c,2.3,1.29837,8.752097,797.0,0.33,5613.0,0.574,0.509,-0.08288
Kepler-32 c,2.2,189.74451,8.75210645,449.0,1.31,3727.0,0.5,0.52,-0.08288
Kepler-32 c,2.2,189.74451,8.75210645,449.0,1.31,3727.0,0.5,0.52,-0.08288
Kepler-32 c,1.83,189.74451,8.75209691,451.0,1.31,3731.0,0.498,0.509,-0.08288
Kepler-32 c,2.0,158.9,8.7522,797.0,1.31,3900.0,0.53,0.58,-0.08288
Kepler-32 c,2.021,189.74451,10.338536805,797.0,1.31,3801.0,0.529,0.566,-1.29243
Kepler-32 c,2.37,189.74451,8.75210645,797.0,1.31,3903.0,0.54,0.57,-0.08288
Kepler-32 c,2.3,189.74451,8.75208271,797.0,1.31,3791.0,0.574432,0.566709,-1.21181
Kepler-32 c,1.99,189.74451,8.752167,497.0,1.31,4061.0,0.524,0.549,-0.08288
Kepler-259 c,2.71,189.74451,36.9249531,530.0,1.31,5926.0,0.887,0.978,-0.08288
Kepler-259 c,2.76,189.74451,36.9249531,797.0,1.31,5578.0,0.9,0.93,-0.08288
Kepler-259 c,3.01,189.74451,36.9250409,530.0,1.31,5926.0,0.887,0.978,-0.08288
Kepler-259 c,2.3,189.74451,36.92515874,797.0,1.31,5613.0,0.886966,0.99,-0.15271
Kepler-259 c,3.12,189.74451,10.338536805,797.0,1.31,5511.0,0.919,0.959,-0.08288
Kepler-259 c,2.71,189.74451,36.9249531,530.0,1.31,5926.0,0.887,0.978,-0.08288
Kepler-259 c,2.3,189.74451,36.9250409,797.0,1.31,5613.0,0.886966,0.99,-0.15271
Kepler-259 c,2.3,189.74451,36.9251496583,797.0,1.31,5613.0,0.886966,0.99,-0.15271
Kepler-259 c,2.7,189.74451,36.924931,797.0,1.31,5938.0,0.898,0.959,-0.08288
Kepler-259 c,3.1,189.74451,36.92564,535.0,1.31,5931.0,0.91,1.015,-0.08288
Kepler-259 c,2.741,189.74451,36.9249531,797.0,1.31,5511.0,0.897,0.867,-0.08288
Kepler-259 c,2.71,189.74451,36.9249531,530.0,1.31,5926.0,0.887,0.978,-0.08288
Kepler-148 c,3.55,189.74451,4.180049552,962.0,1.31,5271.0,0.838,0.893,-0.08288
Kepler-148 c,2.3,189.74451,4.18004979,797.0,1.31,5019.0,0.850564,0.83,-0.38342
Kepler-148 c,3.6,189.74451,4.180043,797.0,1.31,5272.0,0.851,0.959,-0.08288
Kepler-148 c,3.46,189.74451,4.180049552,797.0,1.31,5172.0,0.81,0.86,-0.08288
Kepler-148 c,3.55,189.74451,4.180049552,962.0,1.31,5271.0,0.838,0.893,-0.08288
Kepler-148 c,3.44,189.74451,4.180048081,957.0,1.31,5227.0,0.838,0.876,-0.08288
Kepler-148 c,3.1,189.74451,4.1800659,929.0,1.31,5187.0,0.78,0.777,-0.08288
Kepler-148 c,3.55,189.74451,4.180049552,962.0,1.31,5271.0,0.838,0.893,-0.08288
Kepler-148 c,2.3,189.74451,4.180048081,797.0,1.31,5019.0,0.850564,0.83,-0.38342
Kepler-148 c,2.3,189.74451,4.1801057008,797.0,1.31,5019.0,0.850564,0.83,-0.38342
Kepler-148 c,3.339,189.74451,10.338536805,797.0,1.31,5225.0,0.815,0.959,-0.08288
Kepler-222 d,3.75,189.74451,28.08194365,522.0,1.31,5431.0,0.843,0.945,-0.08288
Kepler-222 d,3.563,189.74451,28.08194365,797.0,1.31,5315.0,0.801,0.933,-0.08288
Kepler-222 d,3.63,189.74451,28.08185982,522.0,1.31,5431.0,0.843,0.945,-0.08288
Kepler-222 d,2.3,189.74451,28.08196251,797.0,1.31,5154.0,0.850048,0.87,-0.33784
Kepler-222 d,2.3,189.74451,28.08185982,797.0,1.31,5154.0,0.850048,0.87,-0.33784
Kepler-222 d,3.69,189.74451,28.081912,797.0,1.31,5433.0,0.869,0.959,-0.08288
Kepler-222 d,3.513,189.74451,10.338536805,797.0,1.31,5315.0,0.816,0.959,-0.08288
Kepler-222 d,3.75,189.74451,28.08194365,522.0,1.31,5431.0,0.843,0.945,-0.08288
Kepler-222 d,3.3,189.74451,28.08209,494.0,1.31,5342.0,0.76,0.857,-0.08288
Kepler-222 d,3.75,189.74451,28.08194365,522.0,1.31,5431.0,0.843,0.945,-0.08288
Kepler-222 d,3.74,189.74451,28.08194365,797.0,1.31,5295.0,0.84,0.88,-0.08288
