pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum
"Kepler-6 b",13.31600225,,3.23469439654,1374.57,,5613.00,1.314740,,
"Kepler-6 b",13.10332100,205.63601000,3.23469940000,,0.490000,5647.00,1.261000,1.114000,
"Kepler-6 b",14.61653600,212.31044000,3.23469960000,1460.00,0.400000,5647.00,1.391000,1.209000,
"Kepler-6 b",11.07000000,,3.23469955000,1260.00,,5826.00,1.082000,1.138000,
"Kepler-6 b",13.41000000,,3.23469931200,1355.00,,5640.00,1.291000,1.047000,
"Kepler-6 b",13.41000000,,3.23469931200,1355.00,,5640.00,1.291000,1.047000,
"Kepler-6 b",13.10100000,,3.23469931200,,,5660.00,1.261000,1.090000,
"Kepler-6 b",,,3.23469928200,,,5613.00,1.314740,0.990000,0.18916
"Kepler-6 b",12.90200000,,,,,5660.00,1.275000,,
"Kepler-6 b",,,3.23469900000,,,5647.00,1.391000,1.209000,0.29900
"Kepler-6 b",,,3.23469939530,,,5613.00,1.314740,0.990000,0.18916
"Kepler-6 b",13.41000000,,3.23469931200,1355.00,,5640.00,1.291000,1.047000,
"Kepler-6 b",13.10332100,201.18639000,3.23470200000,1451.00,0.492000,5647.00,1.261000,1.114000,
"Kepler-6 b",14.83000000,212.61900000,3.23472300000,1500.00,0.352000,5647.00,1.391000,1.209000,0.29900
"Kepler-6 b",,,3.23469918000,,,5613.00,1.314740,0.990000,0.18916
"Kepler-6 b",13.06000000,,3.23469928200,1356.00,,5640.00,1.291000,1.047000,
"Kepler-6 b",,,3.23469930000,,,5647.00,1.391000,1.209000,0.29900
"Kepler-6 b",13.38000000,,3.23469931200,,,5690.00,1.290000,1.050000,
"Kepler-491 b",8.54700000,,4.22538451200,,,5522.00,0.984000,1.044000,
"Kepler-491 b",,,4.22538411120,,,5501.00,1.031220,0.960000,-0.05683
"Kepler-491 b",9.16000000,,4.22538451200,1118.00,,5649.00,1.055000,1.071000,
"Kepler-491 b",9.00000000,,4.22538454300,1111.00,,5574.00,1.054000,1.025000,
"Kepler-491 b",8.88931966,,4.22534982536,1097.04,,5501.00,1.031220,,
"Kepler-491 b",9.16000000,,4.22538451200,1118.00,,5649.00,1.055000,1.071000,
"Kepler-491 b",8.92000000,,4.22538451200,,,5582.00,1.030000,1.040000,
"Kepler-491 b",8.52300000,,,,,5522.00,0.998000,,
"Kepler-491 b",9.16000000,,4.22538451200,1118.00,,5649.00,1.055000,1.071000,
"Kepler-491 b",,,4.22538454300,,,5501.00,1.031220,0.960000,-0.05683
"Kepler-491 b",10.00000000,,4.22538460000,1157.00,,5541.00,1.170000,1.047000,
"Kepler-257 b",2.67000000,,2.38265216900,1237.00,,5188.00,0.973000,0.868000,
"Kepler-257 b",2.22000000,,2.38265216900,,,5209.00,0.810000,0.850000,
"Kepler-257 b",2.67000000,,2.38265216900,1237.00,,5188.00,0.973000,0.868000,
"Kepler-257 b",,,2.38264320930,,,4972.00,0.872590,0.820000,-0.37756
"Kepler-257 b",2.61000000,,2.38266700000,,,5180.00,1.037000,,
"Kepler-257 b",2.00000000,,2.38266600000,1079.00,,5058.00,0.750000,0.740000,
"Kepler-257 b",2.74000000,,2.38265287300,1237.00,,5188.00,0.973000,0.868000,
"Kepler-257 b",2.20100000,,2.38265216900,,,5118.00,0.801000,0.916000,
"Kepler-257 b",,,2.38265264000,,,4972.00,0.872590,0.820000,-0.37756
"Kepler-257 b",,,2.38265287300,,,4972.00,0.872590,0.820000,-0.37756
"Kepler-257 b",2.67000000,,2.38265216900,1237.00,,5188.00,0.973000,0.868000,
"Kepler-216 b",2.23000000,,7.69364042000,,,6142.00,1.200000,1.110000,
"Kepler-216 b",2.86700000,,7.69364042000,,,6119.00,1.545000,1.126000,
"Kepler-216 b",2.12000000,,7.69363627000,1069.00,,6086.00,1.216000,1.013000,
"Kepler-216 b",,,7.69362068000,,,6093.45,1.629690,1.140000,0.51836
"Kepler-216 b",1.91000000,,7.69364042000,1003.00,,6277.00,1.031000,1.085000,
"Kepler-216 b",,,7.69363627000,,,6093.45,1.629690,1.140000,0.51836
"Kepler-216 b",2.35000000,,7.69364100000,,,6091.00,1.260000,,
"Kepler-216 b",1.91000000,,7.69364042000,1003.00,,6277.00,1.031000,1.085000,
"Kepler-216 b",2.76500000,,,,,6119.00,1.589000,,
"Kepler-216 b",1.96000000,,7.69349100000,1008.00,,6278.00,1.050000,1.129000,
"Kepler-216 b",,,7.69357196440,,,6093.45,1.629690,1.140000,0.51836
"Kepler-216 b",1.91000000,,7.69364042000,1003.00,,6277.00,1.031000,1.085000,
"Kepler-32 c",2.11000000,,8.75000000000,,,,,,
"Kepler-32 c",2.08000000,,8.75245953000,449.00,,3727.00,0.500000,0.520000,
"Kepler-32 c",1.98000000,,8.75208025000,,,3791.00,0.574432,0.566709,-1.21181
"Kepler-32 c",1.94000000,,8.75200000000,,,3787.00,0.506000,0.514000,
"Kepler-32 c",,,8.75209691000,,,3791.00,0.574432,0.566709,-1.21181
"Kepler-32 c",2.02000000,7.70000000,8.75200000000,,,,0.529000,0.566000,
"Kepler-32 c",2.00000000,,8.75220000000,470.00,,3793.00,0.530000,0.540000,
"Kepler-32 c",2.20000000,,8.75210645000,449.00,,3727.00,0.500000,0.520000,
"Kepler-32 c",,1.05000000,8.75209700000,,0.610000,,0.574000,0.509000,
"Kepler-32 c",2.11200000,,,,,3731.00,0.574000,,
"Kepler-32 c",,1.29837000,8.75209700000,,0.330000,,0.574000,0.509000,
"Kepler-32 c",2.20000000,,8.75210645000,449.00,,3727.00,0.500000,0.520000,
"Kepler-32 c",2.20000000,,8.75210645000,449.00,,3727.00,0.500000,0.520000,
"Kepler-32 c",1.83000000,,8.75209691000,451.00,,3731.00,0.498000,0.509000,
"Kepler-32 c",2.00000000,158.90000000,8.75220000000,,,3900.00,0.530000,0.580000,
"Kepler-32 c",2.02100000,,,,,3801.00,0.529000,0.566000,-1.29243
"Kepler-32 c",2.37000000,,8.75210645000,,,3903.00,0.540000,0.570000,
"Kepler-32 c",,,8.75208271000,,,3791.00,0.574432,0.566709,-1.21181
"Kepler-32 c",1.99000000,,8.75216700000,497.00,,4061.00,0.524000,0.549000,
"Kepler-259 c",2.71000000,,36.92495310000,530.00,,5926.00,0.887000,0.978000,
"Kepler-259 c",2.76000000,,36.92495310000,,,5578.00,0.900000,0.930000,
"Kepler-259 c",3.01000000,,36.92504090000,530.00,,5926.00,0.887000,0.978000,
"Kepler-259 c",,,36.92515874000,,,5613.00,0.886966,0.990000,-0.15271
"Kepler-259 c",3.12000000,,,,,5511.00,0.919000,,
"Kepler-259 c",2.71000000,,36.92495310000,530.00,,5926.00,0.887000,0.978000,
"Kepler-259 c",,,36.92504090000,,,5613.00,0.886966,0.990000,-0.15271
"Kepler-259 c",,,36.92514965830,,,5613.00,0.886966,0.990000,-0.15271
"Kepler-259 c",2.70000000,,36.92493100000,,,5938.00,0.898000,,
"Kepler-259 c",3.10000000,,36.92564000000,535.00,,5931.00,0.910000,1.015000,
"Kepler-259 c",2.74100000,,36.92495310000,,,5511.00,0.897000,0.867000,
"Kepler-259 c",2.71000000,,36.92495310000,530.00,,5926.00,0.887000,0.978000,
"Kepler-148 c",3.55000000,,4.18004955200,962.00,,5271.00,0.838000,0.893000,
"Kepler-148 c",,,4.18004979000,,,5019.00,0.850564,0.830000,-0.38342
"Kepler-148 c",3.60000000,,4.18004300000,,,5272.00,0.851000,,
"Kepler-148 c",3.46000000,,4.18004955200,,,5172.00,0.810000,0.860000,
"Kepler-148 c",3.55000000,,4.18004955200,962.00,,5271.00,0.838000,0.893000,
"Kepler-148 c",3.44000000,,4.18004808100,957.00,,5227.00,0.838000,0.876000,
"Kepler-148 c",3.10000000,,4.18006590000,929.00,,5187.00,0.780000,0.777000,
"Kepler-148 c",3.55000000,,4.18004955200,962.00,,5271.00,0.838000,0.893000,
"Kepler-148 c",,,4.18004808100,,,5019.00,0.850564,0.830000,-0.38342
"Kepler-148 c",,,4.18010570080,,,5019.00,0.850564,0.830000,-0.38342
"Kepler-148 c",3.33900000,,,,,5225.00,0.815000,,
"Kepler-222 d",3.75000000,,28.08194365000,522.00,,5431.00,0.843000,0.945000,
"Kepler-222 d",3.56300000,,28.08194365000,,,5315.00,0.801000,0.933000,
"Kepler-222 d",3.63000000,,28.08185982000,522.00,,5431.00,0.843000,0.945000,
"Kepler-222 d",,,28.08196251000,,,5154.00,0.850048,0.870000,-0.33784
"Kepler-222 d",,,28.08185982000,,,5154.00,0.850048,0.870000,-0.33784
"Kepler-222 d",3.69000000,,28.08191200000,,,5433.00,0.869000,,
"Kepler-222 d",3.51300000,,,,,5315.00,0.816000,,
"Kepler-222 d",3.75000000,,28.08194365000,522.00,,5431.00,0.843000,0.945000,
"Kepler-222 d",3.30000000,,28.08209000000,494.00,,5342.00,0.760000,0.857000,
"Kepler-222 d",3.75000000,,28.08194365000,522.00,,5431.00,0.843000,0.945000,
"Kepler-222 d",3.74000000,,28.08194365000,,,5295.00,0.840000,0.880000,
"Kepler-222 d",,,28.08193595450,,,5154.00,0.850048,0.870000,-0.33784
"Kepler-29 c",3.14000000,4.00000000,13.28840000000,,0.700000,5701.00,0.932000,0.979000,
"Kepler-29 c",2.78000000,,13.28689997000,715.00,,5730.00,0.870000,0.968000,
"Kepler-29 c",,,13.28689997000,,,5358.15,0.824495,0.930000,-0.29687
"Kepler-29 c",,,13.28706214000,,,5358.15,0.824495,0.930000,-0.29687
"Kepler-29 c",2.90000000,95.30000000,13.29070000000,,,5750.00,0.960000,1.000000,
"Kepler-29 c",1226.40000000,,13.28689074000,714.00,,5716.00,0.872000,0.970000,
