planet_radius,planet_mass,orbital_period,semi_major_axis,equilibrium_temp,planet_density,star_temp,star_luminosity,star_metallicity,star_type,stellar_compatibility,orbital_stability,star_class_B,star_class_D,star_class_F,star_class_G,star_class_K,star_class_L,star_class_M,star_class_T,star_class_W,star_class_m,habitable,habitability_score
2.3,192.60498,10.3392924,1.21,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0028116684768132,0,0,0,1,0,0,0,0,0,0,0,2.6392503e-05
2.3,192.60498,323.21,1.178,797.0,1.31,4874.0,1.97823,-0.26,G8 III,0.5148346874350986,0.0233699462491236,0,0,0,1,0,0,0,0,0,0,0,0.0006904313
2.3,192.60498,326.03,1.29,797.0,1.31,4742.0,2.243,-0.35,G8 III,0.4924195223260643,0.0250187640730547,0,0,0,1,0,0,0,0,0,0,0,0.0013420404
2.3,192.60498,516.21997,1.53,797.0,1.31,4213.0,-0.082525,-0.02,G0 V,0.4374870197300103,0.006569440264638,0,0,0,1,0,0,0,0,0,0,0,8.217282e-05
2.3,192.60498,516.22,1.54,797.0,1.31,4340.0,-0.082525,0.04,K4 III,0.45067497403946,0.0065694389699119,0,0,0,0,1,0,0,0,0,0,0,5.6428154e-05
2.3,192.60498,10.3392924,1.51,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0028116684768132,0,0,0,1,0,0,0,0,0,0,0,2.6392503e-05
2.3,192.60498,185.84,0.83,797.0,1.31,4813.0,1.763,-0.24,K0 III,0.5945923156801662,0.0055506216696269,0,0,0,0,1,0,0,0,0,0,0,5.5493263e-05
2.3,192.60498,186.76,0.775,797.0,1.31,4888.0,1.83992,-0.21,K0 III,0.5716124776739356,0.0055791118054005,0,0,0,0,1,0,0,0,0,0,0,5.732114e-05
2.3,192.60498,10.3392924,0.68,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0028116684768132,0,0,0,1,0,0,0,0,0,0,0,3.0247931e-05
2.3,192.60498,1766.0,2.864,797.0,1.31,5280.0,-0.15273,0.4,G0 V,0.5482866043613707,0.0007132667617689,0,0,0,1,0,0,0,0,0,0,0,2.0935326e-05
2.3,192.60498,1796.4,2.8,797.0,1.31,5255.0,-0.15,0.51,G0 V,0.5456905503634475,0.0006981290142418,0,0,0,1,0,0,0,0,0,0,0,2.0040206e-05
2.3,192.60498,1724.0,2.82,797.0,1.31,5612.5,-0.082525,0.35,K0 V,0.5828141225337488,0.000735294117647,0,0,0,0,1,0,0,0,0,0,0,1.5239403e-05
2.3,192.60498,10.3392924,2.73,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0028116684768132,0,0,0,1,0,0,0,0,0,0,0,2.6392503e-05
2.3,192.60498,1765.0389,2.774,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0007137560563093,0,0,0,1,0,0,0,0,0,0,0,1.5349027e-05
2.3,192.60498,1766.41,2.83,797.0,1.31,5314.94,-0.082525,0.4052,G0 V,0.551914849428868,0.000713058235466,0,0,0,1,0,0,0,0,0,0,0,2.0545705e-05
2.3,192.60498,1773.4,2.77,797.0,1.31,5612.5,-0.082525,-0.002,K0 V,0.5828141225337488,0.0007095217823187,0,0,0,0,1,0,0,0,0,0,0,1.4703434e-05
2.3,192.60498,1773.40002,2.93,797.0,1.31,5338.0,-0.082525,0.41,G0 V,0.5543094496365524,0.0007095217722502,0,0,0,1,0,0,0,0,0,0,0,2.0545705e-05
2.3,192.60498,798.5,1.66,797.0,1.31,5750.0,-0.082525,0.06,G0 V,0.5970924195223261,0.002301495972382,0,0,0,1,0,0,0,0,0,0,0,1.4102038e-05
2.3,192.60498,799.5,1.68,797.0,1.31,5612.5,-0.082525,-0.002,G3 V,0.5828141225337488,0.0022962112514351,0,0,0,1,0,0,0,0,0,0,0,1.5349027e-05
2.3,192.60498,800.8,1.6,797.0,1.31,5760.0,-0.082525,0.05,G2.5 V,0.5981308411214953,0.0022893772893772,0,0,0,1,0,0,0,0,0,0,0,1.3540018e-05
2.3,192.60498,799.5,1.68,797.0,1.31,5747.0,0.09729,0.06,G0 V,0.6356968930425753,0.0022962112514351,0,0,0,1,0,0,0,0,0,0,0,1.3206327e-05
2.3,192.60498,799.45,1.676,797.0,1.31,5711.97,-0.082525,0.0739,G0 V,0.5931433021806853,0.0022964749110115,0,0,0,1,0,0,0,0,0,0,0,1.3401456e-05
2.3,192.60498,798.5,1.681,797.0,1.31,5674.0,-0.082525,0.038,G0 V,0.5892004153686397,0.002301495972382,0,0,0,1,0,0,0,0,0,0,0,1.1635327e-05
2.3,192.60498,578.38,1.45,797.0,1.31,4157.0,2.25435,-0.01,K3 III,0.4316718587746625,0.0046646142364026,0,0,0,0,1,0,0,0,0,0,0,6.400175e-05
2.3,192.60498,10.3392924,2.54,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0028116684768132,0,0,0,1,0,0,0,0,0,0,0,2.6392503e-05
