pl_rade,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,habitability_score,stellar_compatibility,orbital_stability,star_F,star_G,star_K,target,habitability_rank
1.651,0.369,1.0,288.0,1.3275,5200.0,-0.0833349999999999,-0.02,0.7463805241133527,0.4624013093387588,0.5013674989265133,False,True,False,1,1
1.5,0.369311,1.0,288.0,1.3275,5200.0,-0.0833349999999999,-0.02,0.7463805241133527,0.4624013093387588,0.5013675000896874,False,True,False,1,2
1.53,0.634002937,1.0,288.0,1.3275,5106.0,-0.0833349999999999,-0.02,0.745326323772724,0.4622806935309024,0.5013684907846359,False,False,True,1,3
0.9699999999999998,0.638163204,1.0,288.0,1.3275,5196.0,-0.0833349999999999,-0.02,0.7351271009417547,0.462395384413487,0.501368506367235,False,False,True,1,4
1.2547759,0.58424,1.0,288.0,1.3275,5231.0,-0.0833349999999999,-0.03,0.7341275327179013,0.4624501602395064,0.5013683044212434,False,True,False,1,5
1.40575209,0.877183,1.0,288.0,1.3275,5705.0,-0.0833349999999999,-0.01,0.7336081649951315,0.4682945082371391,0.5013694022304829,False,True,False,1,6
1.56,0.568874427,1.0,288.0,1.3275,5144.0,-0.0833349999999999,-0.01,0.7329278692049791,0.4623251530551855,0.5013682468870597,False,False,True,1,7
1.81,0.3693038,1.0,288.0,1.3275,5200.0,-0.0833349999999999,0.0,0.7278245934704182,0.4624013093387588,0.5013675000627587,False,True,False,1,8
1.69,0.3693038,0.00936,1315.5,1.3275,5120.0,-0.0833349999999999,-0.04,0.7236005637513162,0.4622964768218087,0.2525430014090593,False,False,True,0,9
1.6,0.571212,1.0,288.0,1.3275,5613.0,-0.0833349999999999,0.01,0.7235066007154514,0.4645497996731534,0.5013682556394544,False,True,False,1,10
1.228,0.355,1.0,288.0,1.3275,5121.0,-0.0833349999999999,-0.08,0.7207765785881641,0.4622976298998352,0.5013674465670254,False,False,True,1,11
1.2,0.35500744,1.0,288.0,1.3275,5121.0,-0.0833349999999999,-0.08,0.7207765785881641,0.4622976298998352,0.5013674465948497,False,False,True,1,12
1.34,0.571038518,1.0,288.0,1.3275,5268.0,-0.0833349999999999,0.01,0.7197276395386096,0.4625162250615956,0.5013682549898952,False,True,False,1,13
1.3,0.669532,1.0,288.0,1.3275,5360.0,-0.0833349999999999,-0.04,0.7174184936585366,0.4627310689028167,0.501368623872893,False,True,False,1,14
0.9699999999999998,0.693842855,1.0,288.0,1.3275,5589.0,-0.0833349999999999,0.01,0.7104316073137047,0.4641693304277507,0.5013687149538012,False,True,False,1,15
1.808,0.7895933,1.0,288.0,1.3275,5552.0,-0.0833349999999999,0.235,0.7100961149027961,0.4637403946521885,0.5013690738019159,False,True,False,1,16
1.81,0.789592,1.0,288.0,1.3275,5552.0,-0.0833349999999999,0.235,0.7100961149027961,0.4637403946521885,0.5013690737970425,False,True,False,1,17
1.8,0.789655,1.0,288.0,1.3275,5565.0,-0.0833349999999999,0.235,0.7064702866024326,0.4638742000785131,0.5013690740332123,False,True,False,1,18
1.79,0.789693,1.0,288.0,1.3275,5565.0,-0.0833349999999999,0.235,0.7044828088500807,0.4638742000785131,0.5013690741756639,False,True,False,1,19
0.9699999999999998,0.539915238,1.0,288.0,1.3275,5254.0,-0.0833349999999999,-0.07,0.7040995789825758,0.4624901324327632,0.5013681384666827,False,True,False,1,20
1.197,0.584,1.0,288.0,1.3275,5185.0,-0.0833349999999999,-0.06,0.7018063620439967,0.4623795023221332,0.5013683035225606,False,False,True,1,21
1.164,0.584249,0.012888,1315.5,1.3275,5185.0,-0.0833349999999999,-0.06,0.6995247234222287,0.4623795023221332,0.2529897530698182,False,False,True,0,22
1.58,0.93875077,1.0,288.0,1.3275,5708.0,-0.0833349999999999,0.0,0.6912778998495989,0.4685800050015091,0.501369633180883,False,True,False,1,23
1.26,3.28280266,1.0,288.0,1.3275,5898.0,-0.0833349999999999,0.03,0.6883883326117387,0.465669982885341,0.5013784844051145,False,True,False,1,24
1.04,0.764864926,1.0,288.0,1.3275,5160.0,-0.0833349999999999,-0.03,0.6879099188774885,0.4623455059230317,0.5013689811082899,False,False,True,1,25
0.9699999999999998,0.57023,1.0,288.0,1.3275,5500.0,-0.0833349999999999,0.0,0.6848754321421957,0.4633298661757228,0.5013682519626138,False,True,False,1,26
1.829,0.789597,1.0,288.0,1.3275,5576.0,-0.0833349999999999,0.235,0.6843145507503966,0.4640008056675744,0.5013690738157861,False,True,False,1,27
1.817,0.789593,1.0,288.0,1.3275,5576.0,-0.0833349999999999,0.235,0.6843145507503966,0.4640008056675744,0.5013690738007912,False,True,False,1,28
1.27,1.897834018,1.0,288.0,1.3275,5898.0,-0.0833349999999999,0.03,0.6839203583003738,0.465669982885341,0.5013732409381622,False,True,False,1,29
1.3,0.877214,1.0,288.0,1.3275,5820.0,-0.0833349999999999,-0.01,0.6835627382016592,0.4731656584571265,0.5013694023467492,False,True,False,1,30
1.49,5.02818614,1.0,288.0,1.3275,5898.0,-0.0833349999999999,0.03,0.6818017005456245,0.465669982885341,0.5013851497008959,False,True,False,1,31
1.52,0.571292,0.0116,1315.5,1.3275,5470.0,-0.0833349999999999,-0.025,0.679748950492191,0.4631558744577286,0.2528267150015571,False,True,False,0,32
1.15,3.54553021,1.0,288.0,1.3275,5893.0,-0.0833349999999999,0.03,0.6794865798891871,0.4658480963079685,0.501379483608768,False,True,False,1,33
1.82,0.789636,0.0173,288.0,1.3275,5576.0,-0.0833349999999999,0.235,0.6791097888456347,0.4640008056675744,0.2535504428024566,False,True,False,0,34
0.9699999999999998,0.971915428,1.0,288.0,1.3275,5316.0,-0.0833349999999999,-0.04,0.6785495376044045,0.4626176650872938,0.5013697576190234,False,True,False,1,35
1.62377492,0.959665,1.0,288.0,1.3275,5366.0,-0.0833349999999999,-0.01,0.6767452276315595,0.462748405233409,0.5013697116511796,False,True,False,1,36
1.05548088,0.365257,1.0,288.0,1.3275,5456.0,-0.0833349999999999,0.13,0.6755721283655699,0.4630857390964814,0.5013674849274375,False,True,False,1,37
1.0,0.365261,1.0,288.0,1.3275,5456.0,-0.0833349999999999,0.13,0.6755721283655699,0.4630857390964814,0.5013674849423977,False,True,False,1,38
1.22,1.19655156,1.0,288.0,1.3275,5166.0,-0.0833349999999999,0.01,0.6745979128990104,0.4623534121655373,0.5013706010788498,False,False,True,1,39
1.5,0.72091,1.0,288.0,1.3275,5633.0,-0.0833349999999999,-0.053,0.673265403683036,0.4649624090146289,0.501368816375446,False,True,False,1,40
1.75,7.25931979,1.0,288.0,1.3275,5904.0,-0.0833349999999999,0.03,0.672681575902058,0.4654747593543981,0.5013937644309179,False,True,False,1,41
1.397,0.4702694,1.0,288.0,1.3275,5430.0,-0.0833349999999999,0.13,0.6720967569979069,0.4629704162368293,0.5013678777898019,False,True,False,1,42
1.395,0.679336272,0.01452,288.0,1.3275,5463.0,-0.0833349999999999,-0.04,0.6712903935514547,0.463120029961395,0.2531969338671523,False,True,False,0,43
1.1209,0.35500744,1.0,288.0,1.3275,5089.0,-0.0833349999999999,-0.14,0.6703916383399673,0.4622623891615418,0.5013674465948497,False,False,True,1,44
1.16,0.35500744,1.0,288.0,1.3275,5089.0,-0.0833349999999999,-0.14,0.6703916383399673,0.4622623891615418,0.5013674465948497,False,False,True,1,45
1.3,0.881841146,1.0,288.0,1.3275,5188.0,-0.0833349999999999,-0.04,0.6691671626484528,0.4623837751690456,0.5013694197011985,False,False,True,1,46
1.92,8.3265153,1.0,288.0,1.3275,6083.0,-0.0833349999999999,0.03,0.6689741994142079,0.4631717384084869,0.5013979230258552,True,False,False,1,47
1.78,7.19303878,1.0,288.0,1.3275,5932.0,-0.0833349999999999,0.03,0.6687261267631378,0.4647635579319952,0.5013935069662526,False,True,False,1,48
1.676,0.5713127,0.01314,1315.5,1.3275,5578.0,-0.0833349999999999,-0.005,0.6638567904452933,0.464025313669437,0.2530216186087311,False,True,False,0,49
2.37,0.638162933,1.0,288.0,1.3275,5330.96,-0.0833349999999999,-0.029,0.6629707189923401,0.4626537232686155,0.5013685063662199,False,True,False,0,50
1.28,1.063788673,1.0,288.0,1.3275,5105.0,-0.0833349999999999,-0.03,0.6622215902111663,0.4622795912429936,0.5013701024575826,False,False,True,1,51
0.9699999999999998,0.764007986,1.0,288.0,1.3275,5142.0,-0.0833349999999999,-0.06,0.6613758817492545,0.4623226808367403,0.501368977896299,False,False,True,1,52
1.44,0.679336272,1.0,288.0,1.3275,5549.0,-0.0833349999999999,-0.07,0.6612149897343432,0.4637116645238606,0.5013686606032565,False,True,False,1,53
2.37,0.638163432,1.0,288.0,1.3275,5330.96,-0.0833349999999999,-0.029,0.6610929412145623,0.4626537232686155,0.501368506368089,False,True,False,0,54
1.99,2.578855068,1.0,288.0,1.3275,5902.0,-0.0833349999999999,0.04,0.6607479420596314,0.4655377514803823,0.5013758142776573,False,True,False,1,55
1.2,0.77401,1.0,288.0,1.3275,5438.0,-0.0833349999999999,0.0,0.6599886838552902,0.4630040271402064,0.5013690153868842,False,True,False,1,56
1.52,7.99019627,1.0,288.0,1.3275,6080.0,-0.0833349999999999,0.02,0.6595826968665279,0.463187916496884,0.5013966097989235,True,False,False,1,57
1.42,0.938466832,1.0,288.0,1.3275,5671.0,-0.0833349999999999,-0.05,0.6595378056259242,0.466167381110012,0.501369632115608,False,True,False,1,58
