planet_radius,planet_mass,orbital_period,semi_major_axis,equilibrium_temp,planet_density,star_temp,star_luminosity,star_metallicity,star_type,habitability_score,stellar_compatibility,orbital_stability,star_class_B,star_class_D,star_class_F,star_class_G,star_class_K,star_class_L,star_class_M,star_class_T,star_class_W,star_class_m,habitable
2.3,192.60498,10.3392924,1.21,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.24793388429752067,0.5828141225337488,0.0028116684768132085,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,323.21,1.178,797.0,1.31,4874.0,1.97823,-0.26,G8 III,0.2546689303904924,0.5148346874350986,0.023369946249123617,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,326.03,1.29,797.0,1.31,4742.0,2.243,-0.35,G8 III,0.2325581395348837,0.49241952232606434,0.025018764073054773,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,516.21997,1.53,797.0,1.31,4213.0,-0.082525,-0.02,G0 V,0.19607843137254902,0.43748701973001036,0.006569440264638076,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,516.22,1.54,797.0,1.31,4340.0,-0.082525,0.04,K4 III,0.1948051948051948,0.45067497403946,0.006569438969911968,0,0,0,0,1,0,0,0,0,0,0
2.3,192.60498,10.3392924,1.51,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.19867549668874174,0.5828141225337488,0.0028116684768132085,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,185.84,0.83,797.0,1.31,4813.0,1.763,-0.24,K0 III,0.25641025641025644,0.5945923156801662,0.005550621669626998,0,0,0,0,1,0,0,0,0,0,0
2.3,192.60498,186.76,0.775,797.0,1.31,4888.0,1.83992,-0.21,K0 III,0.24489795918367344,0.5716124776739356,0.00557911180540058,0,0,0,0,1,0,0,0,0,0,0
2.3,192.60498,10.3392924,0.68,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.2272727272727273,0.5828141225337488,0.0028116684768132085,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,1766.0,2.864,797.0,1.31,5280.0,-0.15273,0.4,G0 V,0.10474860335195531,0.5482866043613707,0.0007132667617689016,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,1796.4,2.8,797.0,1.31,5255.0,-0.15,0.51,G0 V,0.10714285714285714,0.5456905503634475,0.0006981290142418318,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,1724.0,2.82,797.0,1.31,5612.5,-0.082525,0.35,K0 V,0.10638297872340426,0.5828141225337488,0.0007352941176470588,0,0,0,0,1,0,0,0,0,0,0
2.3,192.60498,10.3392924,2.73,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.10989010989010987,0.5828141225337488,0.0028116684768132085,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,1765.0389,2.774,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.10814708002883922,0.5828141225337488,0.0007137560563093573,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,1766.41,2.83,797.0,1.31,5314.94,-0.082525,0.4052,G0 V,0.10600706713780919,0.551914849428868,0.0007130582354660904,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,1773.4,2.77,797.0,1.31,5612.5,-0.082525,-0.002,K0 V,0.10830324909747292,0.5828141225337488,0.0007095217823187171,0,0,0,0,1,0,0,0,0,0,0
2.3,192.60498,1773.40002,2.93,797.0,1.31,5338.0,-0.082525,0.41,G0 V,0.1023890784982935,0.5543094496365524,0.0007095217722502942,0,0,0,1,0,0,0,0,0,0,0
